Training loss is: 0.864; Testing loss is: 6.924
Training loss is: 0.015; Testing loss is: 0.015
Training loss is: 0.004; Testing loss is: 0.052
Training loss is: 0.011; Testing loss is: 0.011
Training loss is: 0.004; Testing loss is: 0.083
Training loss is: 0.008; Testing loss is: 0.015
Training loss is: 0.009; Testing loss is: 0.047
Training loss is: 0.017; Testing loss is: 0.045
Training loss is: 0.022; Testing loss is: 0.041
Training loss is: 0.004; Testing loss is: 0.030
Training loss is: 0.022; Testing loss is: 0.010
Training loss is: 0.004; Testing loss is: 0.017
Training loss is: 0.020; Testing loss is: 0.036
Training loss is: 0.024; Testing loss is: 0.004
Training loss is: 0.017; Testing loss is: 0.052
Training loss is: 0.015; Testing loss is: 0.014
Training loss is: 0.034; Testing loss is: 0.010
Training loss is: 0.007; Testing loss is: 0.039
Training loss is: 0.018; Testing loss is: 0.028
Training loss is: 0.024; Testing loss is: 0.025
Training loss is: 0.011; Testing loss is: 0.197
Training loss is: 0.016; Testing loss is: 0.022
Training loss is: 0.014; Testing loss is: 0.064
Training loss is: 0.013; Testing loss is: 0.018
Training loss is: 0.012; Testing loss is: 0.120
Training loss is: 0.002; Testing loss is: 0.009
Training loss is: 0.006; Testing loss is: 0.009
Training loss is: 0.014; Testing loss is: 0.013
Training loss is: 0.020; Testing loss is: 0.003
Training loss is: 0.002; Testing loss is: 0.047
Training loss is: 0.013; Testing loss is: 0.021
Training loss is: 0.019; Testing loss is: 0.015
Training loss is: 0.005; Testing loss is: 0.024
Training loss is: 0.023; Testing loss is: 0.026
Training loss is: 0.018; Testing loss is: 0.065
Training loss is: 0.012; Testing loss is: 0.023
Training loss is: 0.003; Testing loss is: 0.070
Training loss is: 0.006; Testing loss is: 0.017
Training loss is: 0.024; Testing loss is: 0.015
Training loss is: 0.007; Testing loss is: 0.062
Training loss is: 0.009; Testing loss is: 0.017
Training loss is: 0.006; Testing loss is: 0.047
Training loss is: 0.025; Testing loss is: 0.011
Training loss is: 0.024; Testing loss is: 0.135
Training loss is: 0.012; Testing loss is: 0.047
Training loss is: 0.026; Testing loss is: 0.009
Training loss is: 0.020; Testing loss is: 0.024
Training loss is: 0.018; Testing loss is: 0.020
Training loss is: 0.008; Testing loss is: 0.023
Training loss is: 0.005; Testing loss is: 0.013
Training loss is: 0.008; Testing loss is: 0.073
Training loss is: 0.016; Testing loss is: 0.011
Training loss is: 0.008; Testing loss is: 0.056
Training loss is: 0.012; Testing loss is: 0.033
Training loss is: 0.008; Testing loss is: 0.037
Training loss is: 0.007; Testing loss is: 0.064
Training loss is: 0.021; Testing loss is: 0.013
Training loss is: 0.011; Testing loss is: 0.027
Training loss is: 0.015; Testing loss is: 0.023
Training loss is: 0.013; Testing loss is: 0.029
